Codigo,Nome,Setor,Asset Class,Valor de mercado,Peso,Valor Nacional,Shares,Preco,Localizacao,Exchange,Currency,FX Rate,Market Currency
"SUZB3","SUZANO SA","Materiais","Renda Variável","222.310.664,31","1,62","222.310.664,31","3.996.237,00","55,63","Brasil","XBSP","BRL","1,00","BRL"
"RADL3","RAIA DROGASIL","Bens de primeira necessidade","Renda Variável","219.326.881,20","1,60","219.326.881,20","7.460.098,00","29,40","Brasil","XBSP","BRL","1,00","BRL"
"PRIO3","PETRO RIO SA","Energia","Renda Variável","215.413.518,90","1,57","215.413.518,90","4.677.818,00","46,05","Brasil","XBSP","BRL","1,00","BRL"
"RDOR3","REDE DOR SAO LUIZ SA","Cuidados de saúde","Renda Variável","196.453.462,88","1,43","196.453.462,88","6.830.788,00","28,76","Brasil","XBSP","BRL","1,00","BRL"
"UGPA3","ULTRAPAR PARTICIPOES SA","Energia","Renda Variável","168.401.779,37","1,23","168.401.779,37","6.352.387,00","26,51","Brasil","XBSP","BRL","1,00","BRL"
"JBSS3","JBS SA","Bens de primeira necessidade","Renda Variável","165.313.147,47","1,20","165.313.147,47","6.636.417,00","24,91","Brasil","XBSP","BRL","1,00","BRL"
"RAIL3","RUMO SA","Bens Industriais","Renda Variável","163.492.862,40","1,19","163.492.862,40","7.123.872,00","22,95","Brasil","XBSP","BRL","1,00","BRL"
"GGBR4","GERDAU PREF SA","Materiais","Renda Variável","155.394.504,54","1,13","155.394.504,54","6.540.173,00","23,76","Brasil","XBSP","BRL","1,00","BRL"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","Serviços públicos","Renda Variável","149.838.197,95","1,09","149.838.197,95","1.988.035,00","75,37","Brasil","XBSP","BRL","1,00","BRL"
"VBBR3","VIBRA ENERGIA SA","Consumo discricionário","Renda Variável","148.306.777,40","1,08","148.306.777,40","6.516.115,00","22,76","Brasil","XBSP","BRL","1,00","BRL"
"BRFS3","BRF BRASIL FOODS SA","Bens de primeira necessidade","Renda Variável","135.458.243,67","0,99","135.458.243,67","9.808.707,00","13,81","Brasil","XBSP","BRL","1,00","BRL"
"BBDC3","BANCO BRADESCO SA","Produtos financeiros","Renda Variável","134.081.266,56","0,98","134.081.266,56","8.774.952,00","15,28","Brasil","XBSP","BRL","1,00","BRL"
"CSAN3","COSAN INDUSTRIA E COMERCIO SA","Energia","Renda Variável","132.229.245,28","0,96","132.229.245,28","6.830.023,00","19,36","Brasil","XBSP","BRL","1,00","BRL"
"BBSE3","BB SEGURIDADE SA","Produtos financeiros","Renda Variável","132.171.042,05","0,96","132.171.042,05","3.927.817,00","33,65","Brasil","XBSP","BRL","1,00","BRL"
"VIVT3","TELEFONICA BRASIL SA","Comunicação","Renda Variável","131.459.460,80","0,96","131.459.460,80","2.459.945,00","53,44","Brasil","XBSP","BRL","1,00","BRL"
"ENEV3","ENEVA SA","Serviços públicos","Renda Variável","125.666.424,29","0,92","125.666.424,29","9.233.389,00","13,61","Brasil","XBSP","BRL","1,00","BRL"
"HAPV3","HAPVIDA PARTICIPACOES E INVESTIMEN","Cuidados de saúde","Renda Variável","114.347.960,95","0,83","114.347.960,95","25.696.171,00","4,45","Brasil","XBSP","BRL","1,00","BRL"
"ASAI3","SENDAS DISTRIBUIDORA SA","Bens de primeira necessidade","Renda Variável","106.738.792,38","0,78","106.738.792,38","7.889.046,00","13,53","Brasil","XBSP","BRL","1,00","BRL"
"CPLE6","CIA PARANAENSE DE ENERGIA COPEL PR","Serviços públicos","Renda Variável","101.727.937,64","0,74","101.727.937,64","9.819.299,00","10,36","Brasil","XBSP","BRL","1,00","BRL"
"TOTS3","TOTVS SA","Tecnologia de informação","Renda Variável","101.276.688,15","0,74","101.276.688,15","3.006.135,00","33,69","Brasil","XBSP","BRL","1,00","BRL"
"LREN3","LOJAS RENNER SA","Consumo discricionário","Renda Variável","96.899.638,42","0,71","96.899.638,42","5.562.551,00","17,42","Brasil","XBSP","BRL","1,00","BRL"
"CMIG4","CIA ENERGETICA DE MINAS GERAIS PRE","Serviços públicos","Renda Variável","96.486.564,44","0,70","96.486.564,44","8.404.753,00","11,48","Brasil","XBSP","BRL","1,00","BRL"
"EMBR3","EMBRAER SA","Bens Industriais","Renda Variável","96.176.155,44","0,70","96.176.155,44","4.295.496,00","22,39","Brasil","XBSP","BRL","1,00","BRL"
"KLBN11","KLABIN UNITS SA","Materiais","Renda Variável","91.822.950,12","0,67","91.822.950,12","4.132.446,00","22,22","Brasil","XBSP","BRL","1,00","BRL"
"ENGI11","ENERGISA UNITS SA","Serviços públicos","Renda Variável","91.399.248,92","0,67","91.399.248,92","1.697.924,00","53,83","Brasil","XBSP","BRL","1,00","BRL"
"HYPE3","HYPERMARCAS SA","Cuidados de saúde","Renda Variável","85.597.690,75","0,62","85.597.690,75","2.394.341,00","35,75","Brasil","XBSP","BRL","1,00","BRL"
"TIMS3","TIM SA","Comunicação","Renda Variável","84.699.114,61","0,62","84.699.114,61","4.723.877,00","17,93","Brasil","XBSP","BRL","1,00","BRL"
"NTCO3","NATURA CO HOLDING SA","Bens de primeira necessidade","Renda Variável","83.576.567,43","0,61","83.576.567,43","4.948.287,00","16,89","Brasil","XBSP","BRL","1,00","BRL"
"ALOS3","ALLOS SA","Imobiliário","Renda Variável","82.684.027,80","0,60","82.684.027,80","3.114.276,00","26,55","Brasil","XBSP","BRL","1,00","BRL"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","Bens Industriais","Renda Variável","82.525.714,06","0,60","82.525.714,06","5.819.867,00","14,18","Brasil","XBSP","BRL","1,00","BRL"
"ELET6","CENTRAIS ELETR BRAS-ELETROBRAS SER","Serviços públicos","Renda Variável","73.365.142,50","0,53","73.365.142,50","1.561.625,00","46,98","Brasil","XBSP","BRL","1,00","BRL"
"CSNA3","COMPANHIA SIDERURGICA NACIONAL SA","Materiais","Renda Variável","69.072.166,10","0,50","69.072.166,10","3.513.335,00","19,66","Brasil","XBSP","BRL","1,00","BRL"
"EGIE3","ENGIE BRASIL ENERGIA SA","Serviços públicos","Renda Variável","67.650.537,33","0,49","67.650.537,33","1.492.401,00","45,33","Brasil","XBSP","BRL","1,00","BRL"
"SANB11","BANCO SANTANDER BRASIL UNITS SA","Produtos financeiros","Renda Variável","64.764.342,40","0,47","64.764.342,40","2.005.088,00","32,30","Brasil","XBSP","BRL","1,00","BRL"
"TRPL4","CTEEP COMPANHIA DE TRANSMISSAO DE","Serviços públicos","Renda Variável","61.354.681,50","0,45","61.354.681,50","2.315.271,00","26,50","Brasil","XBSP","BRL","1,00","BRL"
"CMIN3","CSN MINERACAO SA","Materiais","Renda Variável","50.844.786,21","0,37","50.844.786,21","6.493.587,00","7,83","Brasil","XBSP","BRL","1,00","BRL"
"TAEE11","TRANSMISSORA ALIANCA ENERGIA ELETR","Serviços públicos","Renda Variável","49.049.524,86","0,36","49.049.524,86","1.277.997,00","38,38","Brasil","XBSP","BRL","1,00","BRL"
"MULT3","MULTIPLAN EMPREENDIMENTOS IMOBILIA","Imobiliário","Renda Variável","44.620.224,18","0,33","44.620.224,18","1.570.029,00","28,42","Brasil","XBSP","BRL","1,00","BRL"
"CPFE3","CPFL ENERGIA SA","Serviços públicos","Renda Variável","42.272.311,47","0,31","42.272.311,47","1.097.697,00","38,51","Brasil","XBSP","BRL","1,00","BRL"
"GOAU4","METALURGICA GERDAU PREF SA","Materiais","Renda Variável","41.935.966,02","0,31","41.935.966,02","3.861.507,00","10,86","Brasil","XBSP","BRL","1,00","BRL"
"CRFB3","ATACADAO CARREFOUR SA","Bens de primeira necessidade","Renda Variável","38.873.643,45","0,28","38.873.643,45","3.122.381,00","12,45","Brasil","XBSP","BRL","1,00","BRL"
"YDUQ3","YDUQS PARTICIPACOES SA","Consumo discricionário","Renda Variável","37.931.321,84","0,28","37.931.321,84","1.691.852,00","22,42","Brasil","XBSP","BRL","1,00","BRL"
"BRAP4","BRADESPAR PREF SA","Materiais","Renda Variável","37.659.873,34","0,27","37.659.873,34","1.467.649,00","25,66","Brasil","XBSP","BRL","1,00","BRL"
"CYRE3","CYRELA BRAZIL REALTY SA","Consumo discricionário","Renda Variável","37.422.294,56","0,27","37.422.294,56","1.554.082,00","24,08","Brasil","XBSP","BRL","1,00","BRL"
"COGN3","COGNA EDUCACAO SA","Consumo discricionário","Renda Variável","37.036.099,87","0,27","37.036.099,87","10.612.063,00","3,49","Brasil","XBSP","BRL","1,00","BRL"
"MGLU3","MAGAZINE LUIZA SA","Consumo discricionário","Renda Variável","36.217.545,12","0,26","36.217.545,12","16.767.382,00","2,16","Brasil","XBSP","BRL","1,00","BRL"
"RRRP3","3R PETROLEUM OLEO E GAS SA","Energia","Renda Variável","36.212.841,36","0,26","36.212.841,36","1.377.962,00","26,28","Brasil","XBSP","BRL","1,00","BRL"
"RECV3","PETRORECONCAVO SA","Energia","Renda Variável","34.925.651,40","0,25","34.925.651,40","1.607.995,00","21,72","Brasil","XBSP","BRL","1,00","BRL"
"BRKM5","BRASKEM PREF SERIES A SA","Materiais","Renda Variável","33.984.146,22","0,25","33.984.146,22","1.554.627,00","21,86","Brasil","XBSP","BRL","1,00","BRL"
"IGTI11","IGUATEMI UNIT SA","Imobiliário","Renda Variável","30.660.580,56","0,22","30.660.580,56","1.257.612,00","24,38","Brasil","XBSP","BRL","1,00","BRL"
"AZUL4","AZUL PREF SA","Bens Industriais","Renda Variável","30.309.219,43","0,22","30.309.219,43","1.893.143,00","16,01","Brasil","XBSP","BRL","1,00","BRL"
"CIEL3","CIELO SA","Produtos financeiros","Renda Variável","29.690.518,69","0,22","29.690.518,69","6.330.601,00","4,69","Brasil","XBSP","BRL","1,00","BRL"
"RAIZ4","RAIZEN PRF SA","Energia","Renda Variável","27.799.604,95","0,20","27.799.604,95","6.898.165,00","4,03","Brasil","XBSP","BRL","1,00","BRL"
"USIM5","USINAS SIDERURGICAS DE MINAS GERAI","Materiais","Renda Variável","27.653.942,47","0,20","27.653.942,47","2.976.743,00","9,29","Brasil","XBSP","BRL","1,00","BRL"
"FLRY3","FLEURY SA","Cuidados de saúde","Renda Variável","25.350.637,84","0,18","25.350.637,84","1.405.246,00","18,04","Brasil","XBSP","BRL","1,00","BRL"
"VAMO3","VAMOS LOCACAO DE CAMINHOES MAQUINA","Bens Industriais","Renda Variável","24.521.164,97","0,18","24.521.164,97","2.435.071,00","10,07","Brasil","XBSP","BRL","1,00","BRL"
"MRVE3","MRV ENGENHARIA E PARTICIPACOES SA","Consumo discricionário","Renda Variável","24.413.784,17","0,18","24.413.784,17","2.173.979,00","11,23","Brasil","XBSP","BRL","1,00","BRL"
"SMTO3","SAO MARTINHO SA","Bens de primeira necessidade","Renda Variável","24.270.761,01","0,18","24.270.761,01","828.071,00","29,31","Brasil","XBSP","BRL","1,00","BRL"
"ARZZ3","AREZZO INDUSTRIA E SA","Consumo discricionário","Renda Variável","23.235.639,75","0,17","23.235.639,75","360.075,00","64,53","Brasil","XBSP","BRL","1,00","BRL"
"SLCE3","SLC AGRICOLA SA","Bens de primeira necessidade","Renda Variável","21.537.024,58","0,16","21.537.024,58","1.144.369,00","18,82","Brasil","XBSP","BRL","1,00","BRL"
"SOMA3","GRUPO DE MODA SOMA SA","Consumo discricionário","Renda Variável","21.355.514,40","0,16","21.355.514,40","2.866.512,00","7,45","Brasil","XBSP","BRL","1,00","BRL"
"IRBR3","IRB BRASIL RESSEGUROS SA","Produtos financeiros","Renda Variável","20.951.507,80","0,15","20.951.507,80","472.946,00","44,30","Brasil","XBSP","BRL","1,00","BRL"
"MRFG3","MARFRIG GLOBAL FOODS SA","Bens de primeira necessidade","Renda Variável","18.829.232,60","0,14","18.829.232,60","1.941.158,00","9,70","Brasil","XBSP","BRL","1,00","BRL"
"DXCO3","DEXCO SA","Materiais","Renda Variável","14.152.237,95","0,10","14.152.237,95","1.753.685,00","8,07","Brasil","XBSP","BRL","1,00","BRL"
"LWSA3","LOCAWEB SERVICOS DE INTERNET SA","Tecnologia de informação","Renda Variável","13.811.268,48","0,10","13.811.268,48","2.298.048,00","6,01","Brasil","XBSP","BRL","1,00","BRL"
"BEEF3","MINERVA SA","Bens de primeira necessidade","Renda Variável","11.267.419,32","0,08","11.267.419,32","1.508.356,00","7,47","Brasil","XBSP","BRL","1,00","BRL"
"CVCB3","CVC BRASIL OPERADORA E AGENCIA DE","Consumo discricionário","Renda Variável","10.763.900,00","0,08","10.763.900,00","3.075.400,00","3,50","Brasil","XBSP","BRL","1,00","BRL"
"ALPA4","SAO PAULO ALPARGATAS PREF SA","Consumo discricionário","Renda Variável","10.448.798,80","0,08","10.448.798,80","1.032.490,00","10,12","Brasil","XBSP","BRL","1,00","BRL"
"GOLL4","GOL LINHAS AEREAS INTELIGENTES PRE","Bens Industriais","Renda Variável","10.271.277,90","0,07","10.271.277,90","1.145.070,00","8,97","Brasil","XBSP","BRL","1,00","BRL"
"EZTC3","EZ TEC EMPREENDIMENTOS E PARTICIPA","Consumo discricionário","Renda Variável","9.887.812,00","0,07","9.887.812,00","528.760,00","18,70","Brasil","XBSP","BRL","1,00","BRL"
"PETZ3","PET CENTER COMERCIO E PARTCIPACOES","Consumo discricionário","Renda Variável","7.510.451,00","0,05","7.510.451,00","1.901.380,00","3,95","Brasil","XBSP","BRL","1,00","BRL"
"BHIA3","GRUPO CASAS BAHIA SA","Consumo discricionário","Renda Variável","6.193.360,16","0,05","6.193.360,16","544.232,00","11,38","Brasil","XBSP","BRL","1,00","BRL"
"PCAR3","COMPANHIA BRASILEIRA DE DISTRIBUIC","Bens de primeira necessidade","Renda Variável","3.678.891,86","0,03","3.678.891,86","906.131,00","4,06","Brasil","XBSP","BRL","1,00","BRL"
"RENT1","LOCALIZA RENT A CAR RIGHTS SA","Bens Industriais","Renda Variável","353.660,00","0,00","353.660,00","17.683,00","20,00","Brasil","XBSP","BRL","1,00","BRL"
