Codigo,Nome,Setor,Asset Class,Valor de mercado,Peso,Valor Nacional,Shares,Preco,Localizacao,Exchange,Currency,FX Rate,Market Currency
"MULT3","MULTIPLAN EMPREENDIMENTOS IMOBILIA","Imobiliário","Renda Variável","39.448.356,88","0,38","39.448.356,88","1.510.274,00","26,12","Brasil","XBSP","BRL","1,00","BRL"
"CSNA3","COMPANHIA SIDERURGICA NACIONAL SA","Materiais","Renda Variável","38.763.175,80","0,38","38.763.175,80","3.492.178,00","11,10","Brasil","XBSP","BRL","1,00","BRL"
"CXSE3","CAIXA SEGURIDADE PARTICIPACOES SA","Produtos financeiros","Renda Variável","36.881.933,31","0,36","36.881.933,31","2.463.723,00","14,97","Brasil","XBSP","BRL","1,00","BRL"
"TAEE11","TRANSMISSORA ALIANCA ENERGIA ELETR","Serviços públicos","Renda Variável","35.749.512,12","0,35","35.749.512,12","1.038.023,00","34,44","Brasil","XBSP","BRL","1,00","BRL"
"GOAU4","METALURGICA GERDAU PREF SA","Materiais","Renda Variável","35.001.267,30","0,34","35.001.267,30","3.141.945,00","11,14","Brasil","XBSP","BRL","1,00","BRL"
"FLRY3","FLEURY SA","Cuidados de saúde","Renda Variável","30.991.362,48","0,30","30.991.362,48","2.207.362,00","14,04","Brasil","XBSP","BRL","1,00","BRL"
"CPFE3","CPFL ENERGIA SA","Serviços públicos","Renda Variável","30.046.313,40","0,29","30.046.313,40","891.582,00","33,70","Brasil","XBSP","BRL","1,00","BRL"
"CMIN3","CSN MINERACAO SA","Materiais","Renda Variável","27.267.510,60","0,26","27.267.510,60","5.274.180,00","5,17","Brasil","XBSP","BRL","1,00","BRL"
"CYRE3","CYRELA BRAZIL REALTY SA","Consumo discricionário","Renda Variável","27.132.641,90","0,26","27.132.641,90","1.257.305,00","21,58","Brasil","XBSP","BRL","1,00","BRL"
"MRFG3","MARFRIG GLOBAL FOODS SA","Bens de primeira necessidade","Renda Variável","26.297.154,90","0,26","26.297.154,90","1.437.003,00","18,30","Brasil","XBSP","BRL","1,00","BRL"
"AZZA3","AZZAS SA","Consumo discricionário","Renda Variável","25.718.998,58","0,25","25.718.998,58","605.723,00","42,46","Brasil","XBSP","BRL","1,00","BRL"
"RECV3","PETRORECONCAVO SA","Energia","Renda Variável","22.553.085,44","0,22","22.553.085,44","1.310.464,00","17,21","Brasil","XBSP","BRL","1,00","BRL"
"BRAP4","BRADESPAR PREF SA","Materiais","Renda Variável","21.388.868,69","0,21","21.388.868,69","1.188.931,00","17,99","Brasil","XBSP","BRL","1,00","BRL"
"IGTI11","IGUATEMI UNIT SA","Imobiliário","Renda Variável","21.206.353,53","0,21","21.206.353,53","1.005.517,00","21,09","Brasil","XBSP","BRL","1,00","BRL"
"BRKM5","BRASKEM PREF CLASS A SA","Materiais","Renda Variável","19.000.677,30","0,18","19.000.677,30","1.258.323,00","15,10","Brasil","XBSP","BRL","1,00","BRL"
"MGLU3","MAGAZINE LUIZA SA","Consumo discricionário","Renda Variável","17.897.618,48","0,17","17.897.618,48","1.682.107,00","10,64","Brasil","XBSP","BRL","1,00","BRL"
"CRFB3","ATACADAO CARREFOUR SA","Bens de primeira necessidade","Renda Variável","17.531.770,41","0,17","17.531.770,41","2.529.837,00","6,93","Brasil","XBSP","BRL","1,00","BRL"
"SMTO3","SAO MARTINHO SA","Bens de primeira necessidade","Renda Variável","17.117.568,88","0,17","17.117.568,88","674.983,00","25,36","Brasil","XBSP","BRL","1,00","BRL"
"IRBR3","IRB BRASIL RESSEGUROS SA","Produtos financeiros","Renda Variável","15.783.004,75","0,15","15.783.004,75","387.313,00","40,75","Brasil","XBSP","BRL","1,00","BRL"
"SLCE3","SLC AGRICOLA SA","Bens de primeira necessidade","Renda Variável","15.574.301,64","0,15","15.574.301,64","920.467,00","16,92","Brasil","XBSP","BRL","1,00","BRL"
"USIM5","USINAS SIDERURGICAS DE MINAS GERAI","Materiais","Renda Variável","15.229.799,52","0,15","15.229.799,52","2.440.673,00","6,24","Brasil","XBSP","BRL","1,00","BRL"
"RAIZ4","RAIZEN PRF SA","Consumo discricionário","Renda Variável","15.015.548,38","0,15","15.015.548,38","5.644.943,00","2,66","Brasil","XBSP","BRL","1,00","BRL"
"VIVA3","VIVARA PARTICIPACOES SA","Consumo discricionário","Renda Variável","14.778.920,08","0,14","14.778.920,08","595.444,00","24,82","Brasil","XBSP","BRL","1,00","BRL"
"AURE3","AUREN ENERGIA SA","Serviços públicos","Renda Variável","14.679.922,53","0,14","14.679.922,53","1.388.829,00","10,57","Brasil","XBSP","BRL","1,00","BRL"
"VAMO3","VAMOS LOCACAO DE CAMINHOES MAQUINA","Bens Industriais","Renda Variável","14.578.279,20","0,14","14.578.279,20","2.295.792,00","6,35","Brasil","XBSP","BRL","1,00","BRL"
"YDUQ3","YDUQS PARTICIPACOES SA","Consumo discricionário","Renda Variável","14.505.580,95","0,14","14.505.580,95","1.372.335,00","10,57","Brasil","XBSP","BRL","1,00","BRL"
"COGN3","COGNA EDUCACAO SA","Consumo discricionário","Renda Variável","13.094.832,03","0,13","13.094.832,03","8.908.049,00","1,47","Brasil","XBSP","BRL","1,00","BRL"
"MRVE3","MRV ENGENHARIA E PARTICIPACOES SA","Consumo discricionário","Renda Variável","11.757.642,98","0,11","11.757.642,98","1.776.079,00","6,62","Brasil","XBSP","BRL","1,00","BRL"
"LWSA3","LWSA SA","Tecnologia de informação","Renda Variável","9.006.320,38","0,09","9.006.320,38","2.005.862,00","4,49","Brasil","XBSP","BRL","1,00","BRL"
"AZUL4","AZUL PREF SA","Bens Industriais","Renda Variável","8.374.656,96","0,08","8.374.656,96","1.562.436,00","5,36","Brasil","XBSP","BRL","1,00","BRL"
"CVCB3","CVC BRASIL OPERADORA E AGENCIA DE","Consumo discricionário","Renda Variável","7.127.641,72","0,07","7.127.641,72","2.509.733,00","2,84","Brasil","XBSP","BRL","1,00","BRL"
"BEEF3","MINERVA SA","Bens de primeira necessidade","Renda Variável","7.061.488,48","0,07","7.061.488,48","1.236.688,00","5,71","Brasil","XBSP","BRL","1,00","BRL"
"EZTC3","EZ TEC EMPREENDIMENTOS E PARTICIPA","Consumo discricionário","Renda Variável","6.634.277,54","0,06","6.634.277,54","460.394,00","14,41","Brasil","XBSP","BRL","1,00","BRL"
"PETZ3","PET CENTER COMERCIO E PARTCIPACOES","Consumo discricionário","Renda Variável","6.617.119,50","0,06","6.617.119,50","1.470.471,00","4,50","Brasil","XBSP","BRL","1,00","BRL"
"ALPA4","SAO PAULO ALPARGATAS PREF SA","Consumo discricionário","Renda Variável","5.630.182,64","0,05","5.630.182,64","784.148,00","7,18","Brasil","XBSP","BRL","1,00","BRL"
"PCAR3","COMPANHIA BRASILEIRA DE DISTRIBUIC","Bens de primeira necessidade","Renda Variável","5.018.706,20","0,05","5.018.706,20","1.805.290,00","2,78","Brasil","XBSP","BRL","1,00","BRL"
